                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.1561,                 15.443,                 2.6224,                0.00187,                0.07843,                0.00101,                0.00028,                 4.1065,                 4.4829,                 1.4748,               0.000664,               0.000664,               0.000664
                      2,                 3.7631,                 4.2277,                 1.5627,                 0.0023,                0.09664,                0.00126,                0.00045,                 2.8636,                 4.2571,                 1.3501,              0.0011989,              0.0011989,              0.0011989
                      3,                 3.4134,                 3.9257,                 1.4162,                0.00242,                0.10154,                0.00134,                0.00032,                 3.0547,                 4.0564,                 1.3164,              0.0016019,              0.0016019,              0.0016019
                      4,                 3.1073,                 3.8368,                 1.3234,                0.00175,                0.07353,                0.00112,                0.00033,                 3.2337,                 3.6139,                 1.3227,               0.001406,               0.001406,               0.001406
                      5,                 2.9645,                 3.8004,                 1.2776,                0.00263,                0.11064,                0.00166,                0.00049,                 3.0048,                 3.2837,                  1.263,               0.001208,               0.001208,               0.001208
                      6,                 2.9042,                 3.7722,                 1.2443,                0.00312,                0.13095,                0.00202,                0.00067,                 2.6579,                  3.611,                 1.1935,                0.00101,                0.00101,                0.00101
                      7,                 2.8687,                 3.7561,                 1.2263,                0.00272,                0.11415,                0.00655,                0.00352,                 2.6456,                 3.6735,                 1.1874,               0.000812,               0.000812,               0.000812
                      8,                 2.8234,                  3.758,                 1.2213,                0.00268,                0.11275,                0.00241,                0.00109,                  2.582,                 3.2457,                 1.1618,               0.000614,               0.000614,               0.000614
                      9,                  2.779,                 3.7485,                 1.2025,                0.00292,                0.12255,                0.00183,                0.00059,                 2.6877,                 3.9948,                 1.1875,               0.000416,               0.000416,               0.000416
                     10,                 2.7449,                 3.7464,                 1.1929,                0.00285,                0.11975,                0.00182,                0.00068,                 2.5764,                 3.9659,                 1.1591,               0.000218,               0.000218,               0.000218
