                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0544,                 10.194,                 2.0284,                0.00117,                0.04902,                0.00062,                0.00023,                 2.9578,                  3.713,                 1.4068,             0.00066533,             0.00066533,             0.00066533
                      2,                 3.6579,                 4.3537,                 1.5847,                0.00188,                0.07913,                0.00102,                0.00032,                 2.9251,                 3.9469,                 1.3521,              0.0012001,              0.0012001,              0.0012001
                      3,                 3.5498,                  4.051,                 1.4663,                0.00205,                0.08613,                0.00115,                0.00029,                 3.0482,                 3.6243,                 1.2956,              0.0016029,              0.0016029,              0.0016029
                      4,                 3.2486,                 3.9235,                 1.3573,                0.00045,                0.01891,                0.00023,                  3e-05,                 3.7217,                 4.0482,                 1.6509,               0.001406,               0.001406,               0.001406
                      5,                 3.0843,                 3.8788,                 1.3282,                  8e-05,                 0.0035,                  5e-05,                  1e-05,                 4.8045,                 5.1946,                 1.9467,               0.001208,               0.001208,               0.001208
                      6,                 3.0402,                 3.8517,                 1.2828,                  3e-05,                 0.0014,                  2e-05,                      0,                 5.5265,                 6.8606,                 3.0274,                0.00101,                0.00101,                0.00101
                      7,                 2.9462,                  3.835,                 1.2595,                0.00025,                 0.0105,                0.00014,                  1e-05,                 4.2984,                 4.8885,                 1.7349,               0.000812,               0.000812,               0.000812
                      8,                 2.8576,                 3.8539,                 1.2342,                0.00025,                 0.0105,                0.00014,                  1e-05,                 5.5836,                 5.4952,                 2.6746,               0.000614,               0.000614,               0.000614
                      9,                 2.8518,                 3.8219,                 1.2279,                0.00025,                 0.0105,                0.00014,                  1e-05,                 5.0324,                 5.0452,                 2.2692,               0.000416,               0.000416,               0.000416
                     10,                 2.8177,                 3.7959,                 1.2135,                0.00025,                 0.0105,                0.00014,                  1e-05,                 4.9546,                 5.1425,                 1.9662,               0.000218,               0.000218,               0.000218
